Designator,Mid X,Mid Y,Rotation,Layer
C1,189.42,-92.57,180.0,top
C10,193.28,-87.67,90.0,top
C11,196.3,-101.64,270.0,top
C12,197.65,-87.55,90.0,top
C13,205.56,-74.09,180.0,top
C14,208.65,-79.8825,270.0,top
C15,189.93,-104.42,90.0,top
C16,193.53,-107.96,90.0,top
C17,187.31,-92.54,180.0,top
C18,183.32,-81.5425,180.0,top
C19,205.15,-64.87,180.0,top
C2,188.62,-96.45,180.0,top
C20,208.09,-68.74,270.0,top
C21,205.42,-71.12,180.0,top
C3,195.25,-101.29,270.0,top
C4,200.46,-92.46,0.0,top
C5,200.47,-91.13,0.0,top
C6,198.83,-89.45,90.0,top
C7,195.64,-87.65,90.0,top
C8,194.42,-87.67,90.0,top
C9,203.4825,-96.45,0.0,top
D1,179.58,-77.1925,90.0,top
IC1,205.19,-68.13,90.0,top
J1,196.45,-66.16,180.0,top
J2,198.89,-107.4,270.0,top
J3,175.61,-89.96,0.0,top
J4,213.63,-89.93,180.0,top
J5,186.49,-71.31,180.0,top
R1,199.08,-73.6825,180.0,top
R2,193.42,-73.7525,0.0,top
R3,196.14,-82.47,90.0,top
R4,197.18,-82.4675,90.0,top
R5,195.26,-104.32,90.0,top
R6,192.59,-82.48,180.0,top
R7,184.24,-87.1425,270.0,top
R8,183.03,-78.9525,90.0,top
SW1,188.12,-79.31,0.0,top
U1,194.9725,-95.44,90.0,top
U2,203.25,-78.6025,0.0,top
U3,188.03,-86.05,180.0,top
Y1,192.61,-104.45,270.0,top
