Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,1uF,
"C10, C11, C12, C17, C2, C3, C4, C5, C6, C7, C8, C9",0402,12,0.1uF,
"C13, C14",0603,2,10uF,
"C15, C16",0402,2,15pF,
C18,0603,1,47uF,
D1,D_SMA,1,SS14,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"J3, J4, J6, J7",PinHeader_1x10_P2.54mm_Vertical,4,Conn_01x10,
J5,JST_XA_S02B-XASK-1N-BN_1x02_P2.50mm_Horizontal,1,JST_2mm_LiPo,
"R1, R2",0402,2,5.1K,
"R3, R4",0402,2,27,
"R5, R6",0402,2,1K,
R7,0402,1,10K,
R8,0603,1,100K,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U4,InvenSense_QFN-24_3x3mm_P0.4mm,1,MPU-9250,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12Mhz,
