Designator,Mid X,Mid Y,Rotation,Layer
C1,117.28,-117.29,270.0,bottom
C10,115.32,-105.35,90.0,bottom
C11,118.46,-117.31,270.0,bottom
C12,118.91,-104.53,90.0,bottom
C13,118.1925,-94.01,270.0,top
C14,128.2025,-94.22,270.0,top
C15,108.92,-121.42,0.0,bottom
C16,108.68,-115.4,0.0,bottom
C17,111.38,-98.71,90.0,top
C18,114.53,-95.28,180.0,top
C19,124.73,-89.34,90.0,top
C2,122.41,-108.71,180.0,bottom
C20,130.42,-84.57,0.0,top
C21,126.42,-89.26,270.0,top
C3,116.44,-104.76,90.0,bottom
C4,111.53,-107.75,0.0,bottom
C5,121.5725,-106.48,180.0,bottom
C6,119.92,-104.8225,90.0,bottom
C7,117.52,-105.33,90.0,bottom
C8,108.63,-112.46,0.0,bottom
C9,123.4,-112.27,180.0,bottom
D1,115.82,-98.17,0.0,top
J1,116.63,-84.89,180.0,top
J2,131.27,-93.24,0.0,top
J3,101.35,-111.0,0.0,top
J4,116.31,-125.99,90.0,top
J5,106.68,-90.48,180.0,top
J6,116.28,-129.66,270.0,top
J7,131.28,-111.03,180.0,top
R1,118.73,-90.81,180.0,top
R2,114.09,-90.79,0.0,top
R3,117.41,-102.17,90.0,top
R4,118.43,-102.17,90.0,top
R5,108.85,-116.51,180.0,bottom
R6,110.28,-97.48,270.0,top
R7,109.37,-100.79,180.0,bottom
R8,114.64,-93.16,0.0,top
SW1,106.67,-97.55,0.0,top
U1,117.04,-111.2825,90.0,top
U2,123.5025,-95.83,90.0,top
U3,108.62,-102.7825,270.0,top
U4,126.21,-84.57,0.0,top
Y1,108.84,-119.0,0.0,top
